exchange,symbol,date,increase,retracement
binance,0GUSDT,2025-09-22,6.26,0.8171
binance,1000CATUSDT,2025-06-23,0.543,0.3939
binance,1000CHEEMSUSDT,2025-09-21,0.6717,0.5842
binance,1000SATSUSDT,2025-09-09,1.0092,0.9158
binance,1INCHBTC,2025-06-25,0.9477,0.4172
binance,1INCHUSDT,2025-06-25,1.1399,0.3523
binance,1INCHDOWNUSDT,2021-04-15,0.708,1.8192
binance,1INCHUPUSDT,2021-04-23,0.8584,1.1915
binance,2ZUSDT,2025-10-02,24.6,0.8541
binance,A2ZUSDT,2025-07-30,0.8561,1.0895
binance,AAVEUSDT,2025-08-06,0.5113,0.5163
binance,AAVEDOWNUSDT,2020-12-04,0.6371,1.3302
binance,AAVEUPUSDT,2020-11-26,1.6242,0.6989
binance,ACABTC,2024-10-30,1.037,0.8452
binance,ACAUSDT,2025-06-27,0.5353,0.6047
binance,ACEBTC,2024-01-10,0.5314,0.6419
binance,ACEUSDT,2025-06-23,0.6819,0.6677
binance,ACHBTC,2025-01-09,0.9583,0.7391
binance,ACHUSDT,2025-07-02,0.8068,0.4075
binance,ACMBTC,2022-04-25,0.5326,1.5741
binance,ACMUSDT,2025-05-15,0.6957,1.1786
binance,ACTUSDT,2025-10-31,0.5385,1.181
binance,ACXUSDT,2025-07-01,0.6969,0.4044
binance,ADADOWNUSDT,2022-08-17,0.7871,0.7394
binance,ADAUPUSDT,2022-08-25,0.5044,0.6352
binance,ADXBTC,2025-07-10,0.6104,0.3404
binance,AERGOBTC,2023-10-27,0.832,0.5364
binance,AERGOUSDT,2024-03-29,0.91,1.2607
binance,AEVOBTC,2025-06-27,0.6111,0.3864
binance,AEVOUSDT,2025-06-23,0.7043,0.3921
binance,AGLDUSDT,2026-01-08,0.5225,1.0265
binance,AIBTC,2025-04-17,0.5248,0.8514
binance,AIUSDT,2025-06-23,0.5521,0.3256
binance,AIONBTC,2022-03-16,0.6829,0.6929
binance,AIONUSDT,2022-03-14,0.5535,0.3389
binance,AIXBTUSDT,2025-05-18,0.5336,0.9798
binance,AKROBTC,2021-06-26,0.551,0.4815
binance,AKROUSDT,2024-02-16,0.8192,0.4272
binance,ALCXBTC,2023-09-13,0.5139,0.9065
binance,ALCXUSDT,2025-10-11,0.5689,1.0678
binance,ALICEBTC,2024-05-16,1.2652,0.408
binance,ALICEUSDT,2025-09-21,0.8423,1.1686
binance,ALLOUSDT,2025-11-11,3.4941,1.0985
binance,ALPACABTC,2023-07-14,0.7751,0.8092
binance,ALPHABTC,2024-10-04,1.3444,0.719
binance,ALPHAUSDT,2024-10-04,1.6103,0.6724
binance,ALPINEBTC,2024-01-10,0.5041,0.4997
binance,ALPINEUSDT,2025-06-19,0.6274,0.7216
binance,ALTBTC,2025-05-29,0.7667,0.913
binance,ALTUSDT,2025-05-29,0.7,0.9101
binance,AMBBTC,2023-08-10,1.087,0.88
binance,AMBUSDT,2024-02-26,0.7213,0.5748
binance,AMPBTC,2022-06-12,1.1892,0.7273
binance,AMPUSDT,2025-12-22,0.5373,0.6228
binance,ANCBTC,2022-01-29,0.5718,0.417
binance,ANCUSDT,2022-01-28,0.7383,0.3507
binance,ANIMEUSDT,2025-05-22,0.9361,0.6098
binance,ANKRUSDT,2026-02-28,0.5741,0.7746
binance,ANTBTC,2023-03-21,0.5302,0.4906
binance,ANTUSDT,2023-03-21,0.5374,0.4877
binance,ANYBTC,2021-12-04,2.3433,1.0085
binance,ANYUSDT,2021-12-04,0.9973,1.0721
binance,APEUSDT,2026-03-31,0.6762,0.706
binance,API3BTC,2025-02-07,0.5183,1.1205
binance,API3USDT,2025-07-03,0.6297,0.4665
binance,APPCBTC,2020-12-31,0.5294,1.3778
binance,ARBBTC,2025-08-06,0.6101,0.3463
binance,ARDRBTC,2025-03-24,0.5352,0.8684
binance,ARDRUSDT,2025-07-02,0.5654,0.7769
binance,ARKBTC,2022-03-10,0.6985,0.7688
binance,ARKUSDT,2025-06-24,1.1289,0.7322
binance,ARKMBTC,2025-02-22,0.5471,1.0944
binance,ARKMUSDT,2025-09-02,0.5411,0.452
