exchange,symbol,date,file,increase_pct,retracement_pct,peak_bucket,label
binance,ADXBTC,2019-07-05,ADXBTC-1m-2019-07-05.csv,32.08,74.37,large,PUMP
binance,ADXBTC,2019-07-26,ADXBTC-1m-2019-07-26.csv,10.89,59.83,small,PUMP
binance,ADXBTC,2020-07-07,ADXBTC-1m-2020-07-07.csv,28.09,96.42,medium,PUMP
binance,ADXBTC,2021-02-13,ADXBTC-1m-2021-02-13.csv,2.95,0.0,,VOLATILE_CONTROL
binance,AGIBTC,2019-03-26,AGIBTC-1m-2019-03-26.csv,2.99,0.0,,VOLATILE_CONTROL
binance,AMBBTC,2019-03-08,AMBBTC-1m-2019-03-08.csv,7.99,83.33,micro,PUMP
binance,APPCBTC,2019-04-24,APPCBTC-1m-2019-04-24.csv,1.72,0.0,,VOLATILE_CONTROL
binance,APPCBTC,2019-09-15,APPCBTC-1m-2019-09-15.csv,5.1,94.44,micro,PUMP
binance,APPCBTC,2020-11-04,APPCBTC-1m-2020-11-04.csv,28.63,170.15,medium,PUMP
binance,APPCBTC,2020-11-18,APPCBTC-1m-2020-11-18.csv,14.93,135.0,small,PUMP
binance,APPCBTC,2021-02-05,APPCBTC-1m-2021-02-05.csv,70.48,103.42,extreme,PUMP
binance,APPCBTC,2021-03-23,APPCBTC-1m-2021-03-23.csv,27.75,96.83,medium,PUMP
binance,APPCBTC,2021-05-30,APPCBTC-1m-2021-05-30.csv,10.21,91.67,small,PUMP
binance,ARDRBTC,2019-04-17,ARDRBTC-1m-2019-04-17.csv,14.57,122.91,small,PUMP
binance,ARDRBTC,2019-05-31,ARDRBTC-1m-2019-05-31.csv,7.55,104.05,micro,PUMP
binance,ARDRBTC,2020-11-02,ARDRBTC-1m-2020-11-02.csv,73.78,93.75,extreme,PUMP
binance,ARDRBTC,2021-02-09,ARDRBTC-1m-2021-02-09.csv,14.68,78.12,small,PUMP
binance,ARKBTC,2019-09-12,ARKBTC-1m-2019-09-12.csv,14.35,66.67,small,PUMP
binance,ARKBTC,2020-04-03,ARKBTC-1m-2020-04-03.csv,19.43,95.08,small,PUMP
binance,ARKBTC,2020-06-02,ARKBTC-1m-2020-06-02.csv,36.56,88.17,large,PUMP
binance,ARNBTC,2020-04-07,ARNBTC-1m-2020-04-07.csv,28.22,105.58,medium,PUMP
binance,ASRBTC,2021-03-13,ASRBTC-1m-2021-03-13.csv,94.57,76.22,extreme,PUMP
binance,ASRBTC,2021-11-12,ASRBTC-1m-2021-11-12.csv,2.62,0.0,,VOLATILE_CONTROL
binance,ASTBTC,2019-03-02,ASTBTC-1m-2019-03-02.csv,38.78,77.3,large,PUMP
binance,ASTBTC,2020-05-09,ASTBTC-1m-2020-05-09.csv,16.67,84.0,small,PUMP
binance,ATMBTC,2021-03-27,ATMBTC-1m-2021-03-27.csv,28.19,97.27,medium,PUMP
binance,BLZBTC,2019-03-15,BLZBTC-1m-2019-03-15.csv,17.32,66.53,small,PUMP
binance,BLZBTC,2019-04-13,BLZBTC-1m-2019-04-13.csv,19.85,94.81,small,PUMP
binance,BLZBTC,2019-05-27,BLZBTC-1m-2019-05-27.csv,9.19,126.09,micro,PUMP
binance,BLZBTC,2019-07-28,BLZBTC-1m-2019-07-28.csv,21.32,107.14,medium,PUMP
binance,BLZBTC,2019-09-17,BLZBTC-1m-2019-09-17.csv,11.38,105.41,small,PUMP
binance,BLZBTC,2019-09-26,BLZBTC-1m-2019-09-26.csv,5.71,138.89,micro,PUMP
binance,BNTBTC,2019-06-15,BNTBTC-1m-2019-06-15.csv,3.83,0.0,,VOLATILE_CONTROL
binance,BNTBTC,2019-06-18,BNTBTC-1m-2019-06-18.csv,18.47,91.77,small,PUMP
binance,BNTBTC,2019-07-11,BNTBTC-1m-2019-07-11.csv,1.55,0.0,,VOLATILE_CONTROL
binance,BNTBTC,2019-09-09,BNTBTC-1m-2019-09-09.csv,47.31,96.2,major,PUMP
binance,BNTBTC,2019-10-14,BNTBTC-1m-2019-10-14.csv,41.24,89.43,major,PUMP
binance,BNTBTC,2020-04-24,BNTBTC-1m-2020-04-24.csv,17.5,90.7,small,PUMP
binance,BQXBTC,2019-01-29,BQXBTC-1m-2019-01-29.csv,16.39,101.52,small,PUMP
binance,BRDBTC,2019-03-17,BRDBTC-1m-2019-03-17.csv,6.74,117.23,micro,PUMP
binance,BRDBTC,2019-04-14,BRDBTC-1m-2019-04-14.csv,6.73,136.98,micro,PUMP
