source,regime,timestep,avg_pump_score
real,control,0,7.8347
real,control,1,9.668
real,control,2,8.3031
real,control,3,7.0307
real,control,4,7.9274
real,control,5,9.0578
real,control,6,8.2479
real,control,7,7.0305
real,control,8,7.8496
real,control,9,9.0323
real,control,10,8.1841
real,control,11,6.9947
real,control,12,7.8699
real,control,13,8.9926
real,control,14,8.2125
real,control,15,6.9826
real,control,16,7.875
real,control,17,8.9255
real,control,18,8.1824
real,control,19,7.0038
real,control,20,7.9128
real,control,21,8.9229
real,control,22,8.1388
real,control,23,6.9928
real,control,24,7.845
real,control,25,8.9494
real,control,26,8.1131
real,control,27,7.026
real,control,28,7.8774
real,control,29,8.9116
real,control,30,8.177
real,control,31,6.9839
real,control,32,7.8557
real,control,33,9.0006
real,control,34,8.1458
real,control,35,6.9637
real,control,36,7.8561
real,control,37,8.9536
real,control,38,8.1741
real,control,39,6.9902
real,control,40,7.9142
real,control,41,8.9322
real,control,42,8.1489
real,control,43,6.9872
real,control,44,7.8481
real,control,45,8.8948
real,control,46,8.103
real,control,47,6.9911
real,control,48,7.843
real,control,49,8.8788
real,control,50,8.1378
real,control,51,7.0004
real,control,52,7.7759
real,control,53,8.8728
real,control,54,8.1456
real,control,55,6.9848
real,control,56,7.8127
real,control,57,8.9339
real,control,58,8.1182
real,control,59,6.9781
real,control,60,7.8469
real,control,61,8.9696
real,control,62,8.1707
real,control,63,6.989
real,control,64,7.8581
real,control,65,9.0163
real,control,66,8.1387
real,control,67,6.9933
real,control,68,7.9009
real,control,69,8.9368
real,control,70,8.1834
real,control,71,6.9789
real,control,72,7.8358
real,control,73,8.8973
real,control,74,8.2143
real,control,75,7.0017
real,control,76,7.8339
real,control,77,8.8857
real,control,78,8.1673
real,control,79,6.998
real,control,80,7.8466
real,control,81,8.9147
real,control,82,8.1251
real,control,83,7.0183
real,control,84,7.8654
real,control,85,8.8888
real,control,86,8.155
real,control,87,6.9811
real,control,88,7.7871
real,control,89,8.8673
real,control,90,8.1272
real,control,91,7.0043
real,control,92,7.8022
real,control,93,8.8043
real,control,94,8.0842
real,control,95,6.9552
real,pumps,0,9.3014
