exchange,symbol,date,increase,retracement,label
binance,0GUSDT,2025-09-22,6.26,0.8171,pump
binance,1000CATUSDT,2025-06-23,0.543,0.3939,pump
binance,1000CHEEMSUSDT,2025-09-21,0.6717,0.5842,pump
binance,1000SATSUSDT,2025-09-09,1.0092,0.9158,pump
binance,1INCHBTC,2025-06-25,0.9477,0.4172,pump
binance,1INCHUSDT,2025-06-25,1.1399,0.3523,pump
binance,1INCHDOWNUSDT,2021-04-15,0.708,1.8192,pump
binance,1INCHUPUSDT,2021-04-23,0.8584,1.1915,pump
binance,2ZUSDT,2025-10-02,24.6,0.8541,pump
binance,A2ZUSDT,2025-07-30,0.8561,1.0895,pump
binance,AAVEUSDT,2025-08-06,0.5113,0.5163,pump
binance,AAVEDOWNUSDT,2020-12-04,0.6371,1.3302,pump
binance,AAVEUPUSDT,2020-11-26,1.6242,0.6989,pump
binance,ACABTC,2024-10-30,1.037,0.8452,pump
binance,ACAUSDT,2025-06-27,0.5353,0.6047,pump
binance,ACEBTC,2024-01-10,0.5314,0.6419,pump
binance,ACEUSDT,2025-06-23,0.6819,0.6677,pump
binance,ACHBTC,2025-01-09,0.9583,0.7391,pump
binance,ACHUSDT,2025-07-02,0.8068,0.4075,pump
binance,ACMBTC,2022-04-25,0.5326,1.5741,pump
binance,ACMUSDT,2025-05-15,0.6957,1.1786,pump
binance,ACTUSDT,2025-10-31,0.5385,1.181,pump
binance,ACXUSDT,2025-07-01,0.6969,0.4044,pump
binance,ADAUSDT,2025-06-30,0.5512,0.2505,volatile_control
binance,ADADOWNUSDT,2022-08-17,0.7871,0.7394,pump
binance,ADAUPUSDT,2022-08-25,0.5044,0.6352,pump
binance,ADXBTC,2025-07-10,0.6104,0.3404,pump
binance,ADXUSDT,2025-07-06,0.5488,0.2957,volatile_control
binance,AEBTC,2020-05-21,0.5564,0.2979,volatile_control
binance,AERGOBTC,2023-10-27,0.832,0.5364,pump
binance,AERGOUSDT,2024-03-29,0.91,1.2607,pump
binance,AEVOBTC,2025-06-27,0.6111,0.3864,pump
binance,AEVOUSDT,2025-06-23,0.7043,0.3921,pump
binance,AGIBTC,2020-07-24,0.8908,0.2311,volatile_control
binance,AGIXBTC,2024-02-05,1.5948,0.2406,volatile_control
binance,AGIXUSDT,2023-10-18,0.5725,0.1314,volatile_control
binance,AGLDBTC,2025-02-08,0.6108,0.1951,volatile_control
binance,AGLDUSDT,2026-01-08,0.5225,1.0265,pump
binance,AIBTC,2025-04-17,0.5248,0.8514,pump
binance,AIUSDT,2025-06-23,0.5521,0.3256,pump
binance,AIONBTC,2022-03-16,0.6829,0.6929,pump
binance,AIONUSDT,2022-03-14,0.5535,0.3389,pump
