exchange,symbol,date,increase,retracement,label
bitget,0GUSDT,2025-09-22,23.1797,0.7342,pump
bitget,10SETUSDT,2026-03-17,3.48,0.917,pump
bitget,1INCHUSDT,2025-11-04,0.5207,0.756,pump
bitget,2ZUSDT,2025-10-02,6624.0,0.9958,pump
bitget,A47USDT,2025-08-24,0.8919,0.5118,pump
bitget,A8USDT,2025-07-19,0.6855,0.9003,pump
bitget,AAVEUSDT,2025-08-06,0.5136,0.515,pump
bitget,ABUSDT,2025-11-04,0.5313,0.7985,pump
bitget,ACEUSDT,2025-08-24,0.6323,0.8696,pump
bitget,ACHUSDT,2025-12-26,0.5422,0.3134,pump
bitget,ACMUSDT,2025-07-23,0.5332,0.3978,pump
bitget,ACNUSDT,2026-04-29,3.095,0.4283,pump
bitget,ACTUSDT,2025-10-31,0.5402,1.1818,pump
bitget,ACXUSDT,2026-02-21,1.0027,0.6603,pump
bitget,AEROUSDT,2025-07-26,0.611,0.2257,volatile_control
bitget,AEVOUSDT,2025-09-03,0.7435,0.626,pump
bitget,AFCUSDT,2026-02-24,0.5186,0.269,volatile_control
bitget,AGLDUSDT,2026-01-12,0.5266,1.3006,pump
bitget,AIAUSDT,2025-09-18,775.7362,0.3461,pump
bitget,AIAVUSDT,2026-01-02,29.5714,0.8828,pump
bitget,AIGENSYNUSDT,2026-04-29,18.04,0.7314,pump
bitget,AINUSDT,2025-08-02,0.643,1.1484,pump
bitget,AIOUSDT,2025-08-02,33.2045,0.4611,pump
bitget,AIXBTUSDT,2025-10-11,0.7445,0.8341,pump
bitget,ALUSDT,2025-10-22,3.0327,1.1262,pump
bitget,ALGOUSDT,2026-03-27,0.5107,0.5851,pump
bitget,ALICEUSDT,2025-09-21,0.8403,1.1697,pump
bitget,ALLOUSDT,2025-11-11,66.0346,0.931,pump
bitget,ALPINEUSDT,2025-07-22,0.7827,0.4205,pump
bitget,AMDONUSDT,2026-04-07,0.6776,0.0421,volatile_control
