exchange,symbol,date,increase,retracement,label
bybit,0GUSDT,2025-09-23,0.502,1.9223,pump
bybit,1INCHUSDT,2025-06-25,1.1394,0.3512,pump
bybit,2ZUSDT,2025-10-02,13.7987,0.851,pump
bybit,AUSDT,2025-05-28,1.037,1.0271,pump
bybit,A8USDT,2025-07-03,0.6288,0.7771,pump
bybit,AAVEUSDT,2025-08-06,0.5111,0.5167,pump
bybit,ACHUSDT,2025-07-02,0.8009,0.4055,pump
bybit,ACSUSDT,2025-06-18,0.5218,1.0043,pump
bybit,ADAUSDT,2025-06-30,0.5508,0.2515,volatile_control
bybit,AEROUSDT,2025-06-01,1.0525,0.4292,pump
bybit,AEVOUSDT,2025-06-23,0.7037,0.3926,pump
bybit,AFCUSDT,2025-07-11,0.5457,0.6152,pump
bybit,AGIUSDT,2025-07-02,0.6759,0.1663,volatile_control
bybit,AGLDUSDT,2026-01-12,0.5337,1.2977,pump
bybit,AIOZUSDT,2025-07-04,0.5727,0.4432,pump
bybit,AIXBTUSDT,2025-05-18,0.5327,0.982,pump
bybit,ALCHUSDT,2025-09-20,0.5332,1.3124,pump
bybit,ALGOUSDT,2025-06-26,0.7634,0.2265,volatile_control
bybit,ALTUSDT,2025-05-29,0.7804,0.879,pump
bybit,AMIUSDT,2025-06-07,0.7816,0.4535,pump
bybit,ANIMEUSDT,2025-05-22,0.9331,0.6071,pump
bybit,ANKRUSDT,2026-02-28,0.5608,0.7705,pump
bybit,AOUSDT,2025-05-29,1.4046,0.8322,pump
bybit,APEUSDT,2026-04-06,2.2493,0.6421,pump
bybit,APEXUSDT,2025-05-17,0.5453,1.5931,pump
bybit,ARUSDT,2025-06-28,0.6364,0.1366,volatile_control
bybit,ARBUSDT,2025-06-23,0.6182,0.2024,volatile_control
bybit,ARKMUSDT,2025-09-02,0.541,0.4504,pump
bybit,ARTYUSDT,2025-06-03,0.5357,1.2845,pump
bybit,ASTERUSDT,2025-09-21,1.0276,0.9011,pump
bybit,ATHUSDT,2025-08-21,0.595,0.4614,pump
bybit,AURORAUSDT,2025-08-08,0.6197,0.8977,pump
bybit,AVAUSDT,2025-10-11,0.8248,0.7986,pump
bybit,AVAILUSDT,2025-08-27,1.1406,0.8436,pump
bybit,AVAXUSDT,2025-09-01,0.5297,0.2107,volatile_control
bybit,AVLUSDT,2025-07-02,0.5435,0.4589,pump
bybit,AVNTUSDT,2025-09-09,52.3906,0.4527,pump
bybit,AXLUSDT,2025-05-23,0.6276,0.6171,pump
bybit,AXSUSDT,2025-12-27,0.6622,0.5319,pump
bybit,AZTECUSDT,2026-02-12,7.0,0.5557,pump
bybit,B3USDT,2025-10-11,0.515,0.6735,pump
bybit,BABY1USDT,2025-10-31,0.5153,1.3601,pump
bybit,BANUSDT,2025-08-07,0.6816,0.1623,volatile_control
bybit,BARDUSDT,2025-09-18,4.1227,0.6136,pump
bybit,BASEDUSDT,2026-03-30,5.4818,0.8481,pump
bybit,BATUSDT,2025-09-25,0.6633,0.4596,pump
bybit,BBUSDT,2025-06-23,0.6397,0.5347,pump
bybit,BDXNUSDT,2025-06-03,4.6125,1.1391,pump
bybit,BEAMUSDT,2025-06-23,0.6156,0.2174,volatile_control
bybit,BELUSDT,2025-06-23,0.5072,0.341,pump
bybit,BERAUSDT,2025-06-28,0.5498,0.266,volatile_control
bybit,BICOUSDT,2026-04-13,0.6003,0.6958,pump
bybit,BILLUSDT,2026-05-04,44.482,0.1992,volatile_control
bybit,BIRBUSDT,2026-01-28,17.8983,0.6899,pump
bybit,BLASTUSDT,2025-06-29,0.7121,0.4693,pump
bybit,BLENDUSDT,2026-04-24,8.557,0.9075,pump
bybit,BLURUSDT,2025-07-03,0.7669,0.3708,pump
bybit,BMTUSDT,2025-05-19,0.5077,0.2246,volatile_control
bybit,BOBAUSDT,2025-05-15,0.5828,0.938,pump
bybit,BOMEUSDT,2025-06-23,0.5499,0.338,pump
bybit,BONKUSDT,2025-06-20,0.6842,0.3036,pump
bybit,BRUSDT,2025-06-05,0.8667,0.2082,volatile_control
bybit,BRETTUSDT,2025-06-23,0.6899,0.2264,volatile_control
bybit,BREVUSDT,2026-01-06,3.7467,0.7874,pump
bybit,BSBUSDT,2026-03-04,4.9247,0.6555,pump
