exchange,symbol,date,increase,retracement,label
gateio,0GUSDT,2025-09-22,0.7937,1.5827,pump
gateio,10SETUSDT,2026-02-27,0.8662,1.0735,pump
gateio,1INCHUSDT,2025-06-25,1.1376,0.3514,pump
gateio,2ZUSDT,2025-11-20,0.5422,1.3049,pump
gateio,3KDSUSDT,2026-01-27,11.0,1.0637,pump
gateio,3ULLUSDT,2025-06-27,0.9462,0.1722,volatile_control
gateio,4EVERUSDT,2025-07-12,3.1008,0.1797,volatile_control
gateio,AUSDT,2025-05-28,7.0,0.3953,pump
gateio,A2ZUSDT,2025-06-24,1.5293,0.5963,pump
gateio,A47USDT,2025-05-25,0.5173,0.829,pump
gateio,A8USDT,2025-06-18,0.7568,1.0395,pump
gateio,AARKUSDT,2025-05-15,1.5253,0.8814,pump
gateio,AARTUSDT,2025-06-14,0.5095,1.1966,pump
gateio,AAVEUSDT,2025-08-06,0.5121,0.5151,pump
gateio,AAVE3LUSDT,2025-05-15,0.545,0.9803,pump
gateio,AAVE3SUSDT,2025-05-15,1079.2317,0.5604,pump
gateio,ABUSDT,2025-05-15,0.575,1.0634,pump
gateio,ABTUSDT,2025-07-03,0.5572,0.376,pump
gateio,ABTONUSDT,2025-09-03,3.4395,1.0014,pump
gateio,ABTXUSDT,2025-09-02,15.9923,0.9994,pump
gateio,ACAUSDT,2025-06-27,0.5332,0.6026,pump
gateio,ACEUSDT,2025-06-23,0.6576,0.6552,pump
gateio,ACHUSDT,2025-07-02,0.8002,0.4018,pump
gateio,ACMUSDT,2025-05-15,0.6252,1.1986,pump
gateio,ACN1USDT,2025-05-31,0.5766,1.0935,pump
gateio,ACN3LUSDT,2026-01-27,3.1045,1.1726,pump
gateio,ACN3SUSDT,2026-01-27,175.7106,0.9992,pump
gateio,ACPUSDT,2025-06-01,0.7823,1.6889,pump
gateio,ACSUSDT,2025-06-19,0.5559,0.9236,pump
gateio,ACTUSDT,2025-10-31,0.59,1.1651,pump
gateio,ACUUSDT,2026-01-20,34.3891,0.7684,pump
gateio,ACXUSDT,2025-07-01,0.6927,0.4029,pump
gateio,ADAUSDT,2025-06-30,0.5505,0.2504,volatile_control
gateio,ADA3LUSDT,2025-06-06,0.5963,1.6802,pump
gateio,ADA3SUSDT,2025-05-15,0.6361,0.3736,pump
gateio,ADA5LUSDT,2025-05-16,0.504,2.1631,pump
gateio,ADA5SUSDT,2025-05-15,1.023,0.4244,pump
gateio,ADAPADUSDT,2025-07-28,0.5979,1.172,pump
gateio,ADPUSDT,2025-11-19,0.5255,1.0257,pump
gateio,ADXUSDT,2025-07-06,0.5409,0.2895,volatile_control
gateio,AEUSDT,2025-07-10,0.5017,0.8882,pump
gateio,AEROUSDT,2025-06-01,0.8757,0.3145,pump
gateio,AEVOUSDT,2025-06-23,0.7058,0.3917,pump
gateio,AFCUSDT,2025-07-10,0.6167,0.6328,pump
gateio,AGIUSDT,2025-07-02,0.6707,0.1571,volatile_control
gateio,AGLDUSDT,2026-01-12,0.5264,1.2988,pump
gateio,AIUSDT,2025-06-23,0.5469,0.3276,pump
gateio,AIAUSDT,2025-09-30,8.6922,0.9155,pump
gateio,AICUSDT,2025-05-22,0.6257,1.1805,pump
gateio,AIDOGEUSDT,2025-06-22,0.5886,0.629,pump
gateio,AILUSDT,2025-06-12,0.5063,1.1221,pump
gateio,AINUSDT,2025-07-05,13.4087,0.4824,pump
gateio,AINNUSDT,2025-07-20,0.6667,1.0357,pump
gateio,AIOUSDT,2025-08-21,1.0232,0.8883,pump
gateio,AIOTUSDT,2025-08-30,184.0,0.2542,volatile_control
gateio,AIOZUSDT,2025-06-06,0.5013,1.2038,pump
gateio,AIPUMPUSDT,2025-05-15,3.1063,0.878,pump
gateio,AIRUSDT,2025-05-15,9.8442,0.9955,pump
gateio,AIRDROPUSDT,2025-06-20,0.6084,0.8513,pump
gateio,AIVUSDT,2026-02-10,0.5867,0.1882,volatile_control
gateio,AIX9USDT,2025-06-15,0.6267,0.5382,pump
gateio,AIXBTUSDT,2025-05-18,0.5323,0.9816,pump
gateio,AKEUSDT,2025-09-28,0.5154,1.2212,pump
gateio,AKTUSDT,2025-12-26,0.5516,0.2559,volatile_control
gateio,ALAUSDT,2025-06-11,0.5718,0.6253,pump
gateio,ALCHUSDT,2025-09-20,0.5366,1.312,pump
gateio,ALCXUSDT,2025-10-11,0.5609,1.0732,pump
gateio,ALDUSDT,2025-06-01,0.6763,0.4845,pump
gateio,ALEOUSDT,2025-07-04,0.7959,0.6453,pump
gateio,ALEPHUSDT,2025-05-31,0.5089,1.2864,pump
gateio,ALEXUSDT,2025-07-14,0.5247,1.0775,pump
gateio,ALGOUSDT,2025-06-26,0.7641,0.2258,volatile_control
gateio,ALIUSDT,2025-06-30,0.8817,0.6659,pump
gateio,ALICEUSDT,2025-09-21,0.8397,1.1685,pump
gateio,ALKIMIUSDT,2025-08-28,0.5042,1.9591,pump
gateio,ALLOUSDT,2025-11-11,1.2343,1.5181,pump
gateio,ALMANAKUSDT,2025-12-11,1.1518,1.7956,pump
gateio,ALPAUSDT,2025-05-17,1.1435,0.2743,volatile_control
gateio,ALPHAUSDT,2025-07-01,0.5138,0.738,pump
gateio,ALPINEUSDT,2025-06-19,0.6197,0.7202,pump
gateio,ALTUSDT,2025-05-29,0.8208,0.9214,pump
gateio,ALUUSDT,2025-07-02,0.5155,1.588,pump
gateio,AMUSDT,2025-07-08,0.6776,0.6289,pump
gateio,AMCUSDT,2025-05-15,0.5072,1.6057,pump
gateio,AMDONUSDT,2026-04-06,0.6401,0.052,volatile_control
gateio,AMPUSDT,2025-12-22,0.5228,0.6161,pump
gateio,AMZN3LUSDT,2026-02-06,1.3704,0.9922,pump
gateio,AMZN3SUSDT,2026-01-26,0.8533,0.6222,pump
gateio,ANAVIUSDT,2025-07-02,0.6734,0.1009,volatile_control
gateio,ANDYETHUSDT,2025-06-06,0.5795,1.2393,pump
gateio,ANIMEUSDT,2025-05-22,0.9269,0.6076,pump
gateio,ANIME3LUSDT,2025-06-09,0.7936,2.1695,pump
gateio,ANIME3SUSDT,2025-06-09,38.2358,0.9622,pump
gateio,ANKRUSDT,2026-02-28,0.5656,0.7667,pump
gateio,ANLOGUSDT,2025-10-11,0.7962,0.2209,volatile_control
gateio,ANONUSDT,2025-08-11,0.6462,0.7097,pump
gateio,AOUSDT,2025-05-22,0.5654,0.8326,pump
gateio,AOGUSDT,2025-11-09,0.5405,0.7865,pump
gateio,APEUSDT,2026-04-06,2.2277,0.6412,pump
gateio,APE3LUSDT,2025-05-17,0.8196,0.8746,pump
gateio,APE3SUSDT,2025-05-29,0.5768,1.5363,pump
gateio,APEPEUSDT,2025-06-21,0.9938,0.3494,pump
gateio,API3USDT,2025-07-03,0.6244,0.459,pump
gateio,APT3LUSDT,2025-05-18,0.57,1.6798,pump
gateio,APT3SUSDT,2025-05-15,0.6164,0.5712,pump
gateio,APT5LUSDT,2025-05-17,0.521,2.4151,pump
gateio,APT5SUSDT,2025-05-15,0.9664,1.1886,pump
gateio,APUUSDT,2025-06-23,0.5116,0.6717,pump
gateio,APYSUSDT,2025-07-06,0.6273,0.8889,pump
gateio,AQAUSDT,2025-06-07,0.6605,1.5533,pump
gateio,ARUSDT,2025-06-28,0.6385,0.1369,volatile_control
gateio,AR3LUSDT,2025-05-18,648.4071,0.2844,volatile_control
gateio,AR3SUSDT,2025-05-15,0.9079,0.5649,pump
