exchange,symbol,date,increase,retracement,label
huobi,0GUSDT,2025-09-21,13.822,0.7404,pump
huobi,1INCHUSDT,2025-06-24,1.1541,0.3536,pump
huobi,4USDT,2025-10-19,6.75,0.729,pump
huobi,AUSDT,2025-05-27,6.9,0.379,pump
huobi,A2ZUSDT,2025-08-03,10.455,0.5775,pump
huobi,A8USDT,2025-07-02,0.6398,0.7038,pump
huobi,AAVEUSDT,2025-08-05,0.5208,0.4541,pump
huobi,ABUSDT,2025-05-21,0.7698,0.2254,volatile_control
huobi,ACAUSDT,2025-06-23,0.6085,0.5944,pump
huobi,ACEUSDT,2025-06-23,0.5076,0.5875,pump
huobi,ACHUSDT,2025-07-02,0.7253,0.494,pump
huobi,ACNUSDT,2026-04-28,7.086,0.3612,pump
huobi,ACSUSDT,2025-06-17,0.6,0.2917,volatile_control
huobi,ACTSOLUSDT,2025-10-30,0.5541,1.1888,pump
huobi,ACXUSDT,2025-06-30,0.733,0.501,pump
huobi,ADAUSDT,2025-06-29,0.6098,0.2167,volatile_control
huobi,ADXUSDT,2025-07-04,0.5033,0.267,volatile_control
huobi,AEVOUSDT,2025-06-22,0.7721,0.4323,pump
huobi,AGLDUSDT,2026-01-11,0.511,1.3087,pump
huobi,AIUSDT,2025-06-23,0.5043,0.4008,pump
huobi,AICUSDT,2025-06-09,0.8046,0.5113,pump
huobi,AIOZUSDT,2025-06-22,0.5194,0.3898,pump
huobi,AIXBTUSDT,2025-05-17,0.5272,0.8573,pump
huobi,AKTUSDT,2025-07-02,0.6056,0.3104,pump
huobi,ALUSDT,2025-10-30,0.5902,1.8333,pump
huobi,ALCHUSDT,2025-09-20,0.521,1.352,pump
huobi,ALGOUSDT,2025-06-22,0.5157,0.2807,volatile_control
huobi,ALIUSDT,2025-06-22,0.6678,0.6505,pump
huobi,ALICEUSDT,2025-06-22,0.6284,0.5381,pump
huobi,ALLOUSDT,2025-11-13,5.86,0.564,pump
huobi,ALTUSDT,2025-05-28,0.8457,0.8462,pump
huobi,ALUUSDT,2025-07-01,0.5744,1.3531,pump
huobi,AMPUSDT,2025-12-23,0.5422,0.5349,pump
huobi,ANIMEUSDT,2025-06-17,6.2333,0.2888,volatile_control
huobi,ANKRUSDT,2026-02-27,0.5633,0.6517,pump
huobi,AOUSDT,2025-11-03,12.7651,0.6571,pump
huobi,APEUSDT,2026-04-06,2.216,0.6651,pump
huobi,APEPEUSDT,2025-07-24,14.85,0.0642,volatile_control
huobi,API3USDT,2025-07-03,0.6704,0.5859,pump
huobi,APRUSDT,2025-10-26,9.376,0.5446,pump
huobi,ARUSDT,2025-06-29,0.6157,0.3204,pump
huobi,ARBUSDT,2025-06-22,0.6537,0.2757,volatile_control
huobi,ARCUSDT,2025-06-22,0.6335,0.4643,pump
huobi,ARDRUSDT,2025-07-01,0.5169,0.7462,pump
huobi,ARGUSDT,2025-12-20,0.5683,0.1647,volatile_control
huobi,ARKMUSDT,2025-06-22,0.5069,0.2841,volatile_control
huobi,ARPAUSDT,2025-06-22,0.5049,0.6394,pump
huobi,ARTYUSDT,2025-06-02,0.5109,1.2461,pump
huobi,ASTERUSDT,2025-09-18,23.31,0.3671,pump
huobi,ASTRUSDT,2025-11-21,0.507,0.9406,pump
huobi,ATHUSDT,2025-08-21,0.6398,0.5365,pump
huobi,ATMUSDT,2025-07-09,1.0912,0.5632,pump
huobi,AUCTIONUSDT,2025-06-24,0.6101,0.5578,pump
huobi,AUDIOUSDT,2026-03-30,0.9302,0.8,pump
huobi,AURORAUSDT,2025-08-08,0.5217,1.0,pump
huobi,AVAUSDT,2025-10-11,0.7616,0.882,pump
huobi,AVAILUSDT,2025-08-26,1.1962,0.591,pump
huobi,AVAXUSDT,2025-09-01,0.5127,0.2263,volatile_control
huobi,AVLUSDT,2025-07-04,0.5388,0.6344,pump
huobi,AVNTUSDT,2025-09-08,87.8633,0.4786,pump
huobi,AWEUSDT,2025-05-21,6.479,0.3635,pump
huobi,AXSUSDT,2025-12-26,0.7052,0.5489,pump
huobi,AZTECUSDT,2026-02-11,12.2,0.5247,pump
huobi,B2USDT,2025-06-13,0.5509,0.5817,pump
huobi,BABYUSDT,2025-06-22,0.5663,0.5505,pump
huobi,BABYDOGEUSDT,2025-07-02,0.5691,0.4275,pump
huobi,BADGERUSDT,2025-07-02,0.5399,0.5745,pump
huobi,BALUSDT,2025-07-02,1.1272,0.6436,pump
huobi,BANUSDT,2025-08-06,0.6518,0.156,volatile_control
huobi,BANANAUSDT,2025-06-22,0.5592,0.5821,pump
huobi,BANANAS31USDT,2025-06-07,2.0072,0.5572,pump
huobi,BANDUSDT,2025-08-04,1.0428,0.4063,pump
huobi,BANKUSDT,2025-06-17,0.6659,0.1114,volatile_control
huobi,BARDUSDT,2025-09-17,6.6745,0.5595,pump
huobi,BASEDUSDT,2026-03-29,15.2368,0.7007,pump
huobi,BATUSDT,2025-09-24,0.6474,0.5135,pump
huobi,BBUSDT,2025-06-22,0.668,0.5731,pump
huobi,BEAMXUSDT,2025-06-22,0.6965,0.2879,volatile_control
huobi,BEATUSDT,2026-01-22,8.89,0.5107,pump
