exchange,symbol,date,increase,retracement,label
kucoin,0GUSDT,2025-09-22,34.2135,0.7147,pump
kucoin,1INCHUSDT,2025-06-25,1.1385,0.352,pump
kucoin,2ZUSDT,2025-10-02,90.825,0.7585,pump
kucoin,9BITUSDT,2026-02-09,4.5617,0.1408,volatile_control
kucoin,ABTC,2025-05-28,1.1562,1.0944,pump
kucoin,A2ZUSDT,2025-08-01,3.145,0.7632,pump
kucoin,A47USDT,2025-07-28,0.5833,0.7337,pump
kucoin,AAVEBTC,2025-08-06,0.507,0.4161,pump
kucoin,AAVEUSDT,2025-08-06,0.5111,0.5161,pump
kucoin,ACHUSDT,2025-07-02,0.7997,0.3967,pump
kucoin,ACNUSDT,2026-04-29,13.0845,0.9566,pump
kucoin,ACQUSDT,2025-06-18,0.6107,0.408,pump
kucoin,ACSUSDT,2025-06-19,0.555,0.9223,pump
kucoin,ACTSOLUSDT,2025-10-31,0.557,1.2046,pump
kucoin,ACUUSDT,2026-01-20,11.8953,0.8077,pump
kucoin,ACXUSDT,2025-07-01,0.9838,0.5736,pump
kucoin,ADAUSDT,2025-06-30,0.5508,0.2503,volatile_control
kucoin,ADIUSDT,2025-12-09,3.277,0.1342,volatile_control
kucoin,ADXUSDT,2025-07-06,0.5367,0.282,volatile_control
kucoin,AERGOUSDT,2025-06-18,0.5178,0.8729,pump
kucoin,AEROUSDT,2025-05-29,0.5017,0.5322,pump
kucoin,AEVOUSDT,2025-06-23,0.8681,0.5136,pump
kucoin,AGIUSDT,2025-07-02,0.6551,0.1367,volatile_control
kucoin,AGLDUSDT,2026-01-12,0.526,1.2997,pump
kucoin,AGTUSDT,2025-05-21,0.931,0.6058,pump
kucoin,AIUSDT,2026-04-29,7.882,0.756,pump
kucoin,AI3USDT,2025-08-27,2.78,0.9955,pump
kucoin,AINUSDT,2025-07-05,13.3807,0.4814,pump
kucoin,AIOUSDT,2025-08-02,5.528,0.4955,pump
kucoin,AIOZUSDT,2025-07-04,0.5734,0.4434,pump
kucoin,AIXBTUSDT,2025-05-18,0.5309,0.9831,pump
kucoin,AKEUSDT,2025-08-21,1.9445,0.4497,pump
kucoin,AKTUSDT,2025-12-26,0.5492,0.2573,volatile_control
kucoin,ALEPHUSDT,2025-06-18,0.507,0.8254,pump
kucoin,ALEXUSDT,2025-07-15,0.5089,1.0351,pump
kucoin,ALGOBTC,2025-06-26,0.5678,0.2409,volatile_control
kucoin,ALGOUSDT,2025-06-26,0.7634,0.2273,volatile_control
kucoin,ALICEUSDT,2025-09-21,0.8425,1.1672,pump
kucoin,ALKIMIUSDT,2025-08-19,0.75,1.6115,pump
kucoin,ALLOUSDT,2025-11-11,2.5928,1.1629,pump
kucoin,ALPINEUSDT,2025-06-19,0.641,0.7279,pump
kucoin,ALTUSDT,2025-05-29,0.6865,0.9073,pump
kucoin,ALUUSDT,2025-07-02,0.5292,1.5651,pump
kucoin,AMPUSDT,2025-12-22,0.5297,0.6233,pump
kucoin,ANIMEUSDT,2025-05-22,0.9344,0.6099,pump
kucoin,ANKRBTC,2026-03-05,0.5246,0.6828,pump
kucoin,ANKRUSDT,2026-02-28,0.5647,0.7833,pump
kucoin,ANLOGUSDT,2025-10-11,0.7635,0.1796,volatile_control
kucoin,ANOMEUSDT,2025-10-17,19.0,0.5731,pump
kucoin,ANYONEUSDT,2025-06-23,0.8977,0.1507,volatile_control
kucoin,APEUSDT,2026-04-06,2.2305,0.6388,pump
kucoin,API3USDT,2025-07-03,0.6251,0.4612,pump
kucoin,APRUSDT,2025-11-10,0.5824,1.5916,pump
kucoin,ARBTC,2025-07-03,0.5325,0.2405,volatile_control
kucoin,ARUSDT,2025-07-03,0.6577,0.1545,volatile_control
kucoin,ARBUSDT,2025-06-23,0.617,0.2027,volatile_control
kucoin,ARCAUSDT,2025-05-15,0.5435,1.1394,pump
kucoin,ARCSOLUSDT,2025-06-23,0.5789,0.3788,pump
kucoin,ARIAUSDT,2025-08-21,5.0324,0.3597,pump
kucoin,ARKMUSDT,2025-09-02,0.547,0.4598,pump
kucoin,ARPAUSDT,2025-10-11,0.6166,0.7634,pump
kucoin,ARTUSDT,2025-09-09,1.2945,1.5649,pump
kucoin,ARTFIUSDT,2025-06-06,0.8057,1.1168,pump
kucoin,ARTYUSDT,2025-06-03,0.5023,1.29,pump
kucoin,ASPUSDT,2025-07-24,4.0,0.8997,pump
kucoin,ASSETUSDT,2026-04-30,5.7405,0.1617,volatile_control
kucoin,ASTERUSDT,2025-09-24,0.5823,1.4116,pump
kucoin,ASTRUSDT,2025-10-01,0.5028,1.3249,pump
kucoin,ATAUSDT,2026-03-31,0.5064,0.6721,pump
kucoin,ATHUSDT,2025-08-21,0.5915,0.4575,pump
kucoin,AUCTIONUSDT,2025-06-25,0.7061,0.619,pump
kucoin,AUDIOUSDT,2026-03-30,0.9363,0.7983,pump
kucoin,AURORAUSDT,2025-08-09,0.5957,0.9874,pump
kucoin,AVABTC,2025-06-29,0.5723,0.7802,pump
kucoin,AVAUSDT,2025-10-11,0.6386,0.9298,pump
kucoin,AVAAIUSDT,2025-05-20,0.5338,1.6779,pump
kucoin,AVAILUSDT,2025-08-27,1.5794,0.8908,pump
kucoin,AVAXUSDT,2025-09-01,0.5304,0.2112,volatile_control
kucoin,AVNTUSDT,2025-09-09,37.0941,0.4553,pump
kucoin,AWEUSDT,2025-05-21,17.6291,0.9927,pump
kucoin,AXSUSDT,2025-12-27,0.7028,0.5616,pump
kucoin,AZEROUSDT,2025-05-28,0.5381,1.1268,pump
kucoin,AZTECUSDT,2026-02-12,3.976,0.7352,pump
kucoin,B2USDT,2025-06-14,0.6424,0.6183,pump
kucoin,B3USDT,2025-10-11,0.6087,0.6176,pump
kucoin,BABYUSDT,2025-07-09,0.5087,0.5472,pump
kucoin,BABYDOGEUSDT,2025-06-28,0.5041,0.3363,pump
kucoin,BALUSDT,2025-07-03,1.1526,0.6411,pump
kucoin,BANUSDT,2025-08-06,0.5033,0.1889,volatile_control
kucoin,BANANAUSDT,2025-06-26,0.5264,0.3929,pump
kucoin,BANDUSDT,2025-08-04,1.1003,0.3384,pump
kucoin,BARDUSDT,2025-10-10,0.5145,1.2517,pump
