exchange,symbol,date,increase,retracement,label
mexc,0GUSDT,2025-09-22,8.5333,0.7811,pump
mexc,114514USDT,2026-01-05,49.0,1.009,pump
mexc,1INCHUSDT,2025-06-25,1.1389,0.3509,pump
mexc,1R0RUSDT,2025-06-27,1.307,0.3673,pump
mexc,2ZUSDT,2025-10-02,7.3665,0.98,pump
mexc,3KDSUSDT,2026-01-27,4.115,1.2248,pump
mexc,3ULLUSDT,2025-06-27,1.0487,0.2588,volatile_control
mexc,4USDT,2025-10-01,29.463,0.806,pump
mexc,4EVERUSDT,2025-07-12,3.1335,0.1312,volatile_control
mexc,67USDT,2025-11-16,7.998,0.7357,pump
mexc,9BITUSDT,2026-01-04,3.5977,0.6612,pump
mexc,ABTC,2025-05-27,1.509,0.5553,pump
mexc,AUSDT,2025-05-27,1.7633,0.5669,pump
mexc,A1XUSDT,2025-06-25,0.5987,0.645,pump
mexc,A47USDT,2025-05-25,0.6196,0.9102,pump
mexc,A8USDT,2025-07-03,0.6298,0.773,pump
mexc,AALONUSDT,2026-01-15,0.578,0.4325,pump
mexc,AAPLXUSDT,2025-07-02,0.7608,0.6176,pump
mexc,AASTUSDT,2025-05-15,0.9434,0.8948,pump
mexc,AAVEUSDT,2025-08-06,0.5102,0.5152,pump
mexc,ABUSDT,2025-05-16,0.5155,1.023,pump
mexc,ABBCUSDT,2025-06-03,0.7129,0.1422,volatile_control
mexc,ABELUSDT,2025-06-10,0.5585,0.2992,volatile_control
mexc,ABEYUSDT,2025-10-11,0.5516,0.7381,pump
mexc,ABXUSDT,2025-05-19,0.5684,0.797,pump
mexc,ACAUSDT,2025-06-27,0.5302,0.6011,pump
mexc,ACEUSDT,2025-06-23,0.67,0.6653,pump
mexc,ACHUSDT,2025-07-02,0.8148,0.4126,pump
mexc,ACHRONUSDT,2026-03-04,0.7345,0.3952,pump
mexc,ACMUSDT,2025-05-15,0.647,1.1915,pump
mexc,ACNUSDT,2026-04-29,7.15,0.3652,pump
mexc,ACSUSDT,2025-06-19,0.541,0.928,pump
mexc,ACTUSDT,2025-10-23,0.5459,1.0573,pump
mexc,ACUUSDT,2026-01-20,11.845,0.8069,pump
mexc,ACXUSDT,2025-07-01,0.6937,0.4039,pump
mexc,ADAUSDT,2025-06-30,0.5511,0.2496,volatile_control
mexc,ADBEONUSDT,2025-10-22,1.4772,1.0519,pump
mexc,ADIUSDT,2026-04-01,1.2765,0.1382,volatile_control
mexc,ADOUSDT,2025-11-21,2.966,0.8995,pump
mexc,ADXUSDT,2025-07-31,1.8317,0.3703,pump
mexc,AEROUSDT,2025-06-01,0.8813,0.3214,pump
mexc,AEROBUDUSDT,2025-06-23,0.7049,0.3341,pump
mexc,AEVOUSDT,2025-06-23,0.7058,0.3935,pump
mexc,AFCUSDT,2025-07-11,0.5353,0.6083,pump
mexc,AFKUSDT,2026-03-25,2.9,1.3359,pump
mexc,AGIUSDT,2025-07-02,0.6592,0.14,volatile_control
mexc,AGLDUSDT,2026-01-08,0.5081,1.0225,pump
mexc,AGROUSDT,2025-07-02,0.5722,1.0767,pump
mexc,AGRSUSDT,2025-05-15,0.5454,1.3464,pump
mexc,AGTUSDT,2025-05-16,37.701,0.2983,volatile_control
mexc,AIUSDT,2026-04-29,5.8995,0.9218,pump
mexc,AI3USDT,2025-08-27,1.2105,1.2663,pump
mexc,AIAUSDT,2025-09-18,37.164,0.3551,pump
mexc,AICUSDT,2025-05-22,0.516,1.2194,pump
mexc,AIDOGEUSDT,2025-06-22,0.6038,0.6244,pump
mexc,AINUSDT,2025-07-05,13.396,0.4794,pump
mexc,AINETWORKUSDT,2025-07-11,1.803,0.8855,pump
mexc,AIOUSDT,2025-08-02,5.507,0.4942,pump
mexc,AIOTUSDT,2025-06-02,0.6214,0.8318,pump
mexc,AIPOUSDT,2025-06-07,0.5109,2.2545,pump
mexc,AIWUSDT,2025-05-17,0.5987,1.1584,pump
mexc,AIXUSDT,2025-07-19,102514.926,0.6313,pump
mexc,AIXBTUSDT,2025-05-18,0.5349,0.9782,pump
mexc,AIXDROPUSDT,2025-11-15,3.2609,0.92,pump
mexc,AIXPLAYUSDT,2026-03-09,16.498,0.7087,pump
mexc,AIXTUSDT,2026-01-14,3.526,0.8185,pump
mexc,AKEUSDT,2025-08-22,1.3197,0.2159,volatile_control
mexc,AKIUSDT,2025-10-16,1.68,0.7905,pump
mexc,AKITAUSDT,2026-03-24,3.366,0.5615,pump
mexc,ALUSDT,2025-10-29,0.524,2.0114,pump
mexc,ALBONUSDT,2026-03-30,0.5434,0.214,volatile_control
mexc,ALCHUSDT,2025-09-20,0.5458,1.3078,pump
mexc,ALEOUSDT,2025-07-04,0.7857,0.642,pump
mexc,ALEPHUSDT,2025-06-18,0.5069,0.8216,pump
mexc,ALEXUSDT,2025-08-24,0.5123,0.984,pump
mexc,ALGOUSDT,2025-06-26,0.7654,0.2262,volatile_control
mexc,ALIUSDT,2025-06-23,0.5392,0.8169,pump
mexc,ALICEUSDT,2025-09-21,0.9004,1.1587,pump
mexc,ALKIMIUSDT,2025-08-19,3.375,0.8957,pump
mexc,ALLOUSDT,2025-11-11,2.0333,1.2551,pump
mexc,ALMANAKUSDT,2025-12-11,1.5,1.6109,pump
mexc,ALPINEUSDT,2025-06-19,0.6257,0.7199,pump
mexc,ALTLAYERUSDT,2025-05-29,0.7037,0.911,pump
mexc,ALUUSDT,2025-07-02,0.5079,1.6062,pump
mexc,ALVAUSDT,2025-05-20,1.3536,0.3629,pump
mexc,AMDONUSDT,2025-09-21,0.5317,0.3148,pump
mexc,AMEUSDT,2025-05-17,0.5468,1.2848,pump
mexc,AMIUSDT,2025-06-07,0.778,0.4529,pump
mexc,AMOREUSDT,2025-09-19,1.7333,1.1346,pump
mexc,AMPUSDT,2025-12-22,0.5407,0.6272,pump
mexc,AMZNXUSDT,2025-07-07,0.5,0.5692,pump
mexc,ANDYETHUSDT,2025-06-06,0.5914,1.23,pump
mexc,ANIUSDT,2025-07-15,16.956,0.718,pump
mexc,ANIMEUSDT,2025-05-22,0.9322,0.6046,pump
mexc,ANKRBTC,2026-03-04,0.5058,0.5246,pump
mexc,ANKRUSDT,2026-02-28,0.5736,0.7729,pump
mexc,ANONUSDT,2025-08-12,0.6014,0.4371,pump
mexc,ANTUSDT,2025-08-07,780.196,1.0013,pump
mexc,ANYONEUSDT,2025-06-23,0.9101,0.1588,volatile_control
mexc,AOUSDT,2025-05-16,0.5596,1.1151,pump
mexc,APEUSDT,2026-03-31,0.5929,0.6667,pump
mexc,APEPEUSDT,2025-05-16,0.5232,0.6958,pump
mexc,APEXUSDT,2025-05-17,0.6019,1.5348,pump
mexc,API3USDT,2025-07-03,0.6252,0.4605,pump
mexc,APRUSDT,2025-10-23,6.454,0.7859,pump
mexc,APTUSDT,2025-06-22,0.5085,0.8862,pump
mexc,APTMUSDT,2025-05-27,0.6271,0.7405,pump
mexc,APUUSDT,2025-07-05,0.6009,0.5261,pump
mexc,ARUSDT,2025-06-28,0.6381,0.1317,volatile_control
mexc,ARBUSDT,2025-06-23,0.6176,0.2031,volatile_control
mexc,ARCUSDT,2025-06-28,0.512,1.0489,pump
mexc,ARCIELUSDT,2026-01-30,100.472,0.8287,pump
mexc,ARCSOLUSDT,2025-06-23,0.5798,0.4057,pump
mexc,AREAUSDT,2025-06-19,0.5,0.54,pump
mexc,ARGUSDT,2025-12-19,0.5698,0.1709,volatile_control
mexc,ARIUSDT,2025-05-15,20.6554,1.0038,pump
mexc,ARIAUSDT,2025-08-21,6.5,0.3433,pump
mexc,ARKUSDT,2025-06-24,1.1235,0.73,pump
mexc,ARKMUSDT,2025-09-02,0.5381,0.4493,pump
mexc,ARMONUSDT,2025-09-12,0.5619,0.307,pump
mexc,ARPAUSDT,2025-10-11,0.6183,0.762,pump
mexc,ARRRUSDT,2025-07-26,1.481,0.7511,pump
mexc,ARTUSDT,2025-09-09,3.896,1.1461,pump
mexc,ARTFIUSDT,2025-06-06,0.6306,1.1837,pump
mexc,ARTXUSDT,2025-11-22,2.2901,0.1095,volatile_control
mexc,ARTYUSDT,2025-06-03,0.5023,1.29,pump
mexc,ARWUSDT,2025-07-02,9.0,0.8546,pump
mexc,ARXUSDT,2025-11-12,1.35,0.8844,pump
mexc,ASIUSDT,2025-05-15,0.6158,1.0367,pump
mexc,ASMUSDT,2025-10-11,0.5517,1.0906,pump
mexc,ASMLONUSDT,2025-10-22,1.1176,0.9868,pump
mexc,ASPUSDT,2025-07-24,1.6025,0.8918,pump
mexc,ASRUSDT,2026-03-29,1.872,0.2361,volatile_control
mexc,ASSUSDT,2025-05-15,0.7954,0.9745,pump
mexc,ASSETUSDT,2026-04-30,5.8135,0.1754,volatile_control
mexc,ASTUSDT,2025-05-18,2.5445,0.0531,volatile_control
