exchange,symbol,date,increase,retracement,label
okx,1INCHUSDT,2025-10-31,0.5003,0.74,pump
okx,2ZUSDT,2025-11-20,0.547,1.3042,pump
okx,AAVEUSDT,2025-08-06,0.5116,0.5168,pump
okx,ACEUSDT,2025-08-24,0.6373,0.8728,pump
okx,ACHUSDT,2025-12-26,0.5416,0.3175,pump
okx,ACTUSDT,2025-10-31,0.5384,1.1835,pump
okx,AEVOUSDT,2025-09-03,0.7608,0.6358,pump
okx,AGLDUSDT,2026-01-13,0.5228,1.3146,pump
okx,AIXBTUSDT,2025-10-11,0.763,0.8224,pump
okx,ALGOUSDT,2026-03-27,0.5112,0.5837,pump
okx,ALLOUSDT,2025-11-11,2.6908,1.1574,pump
okx,ANIMEUSDT,2025-12-02,0.5644,0.6619,pump
okx,APEUSDT,2026-04-06,2.2366,0.6411,pump
okx,API3USDT,2025-08-01,1.6732,0.4095,pump
okx,ARUSDT,2025-10-20,1.2056,0.4714,pump
okx,ARBUSDT,2025-08-02,0.5436,0.5341,pump
okx,ARGUSDT,2025-12-19,0.5704,0.1753,volatile_control
okx,ARKMUSDT,2025-09-02,0.5386,0.449,pump
okx,ASPUSDT,2025-07-24,4.508,0.911,pump
okx,ASTERUSDT,2025-11-04,0.5396,0.5873,pump
okx,ATHUSDT,2025-08-21,0.5929,0.4561,pump
okx,AUCTIONUSDT,2025-10-11,0.9085,0.8933,pump
okx,AVAXUSDT,2025-09-01,0.5303,0.211,volatile_control
okx,AVNTUSDT,2025-10-11,0.5865,0.912,pump
okx,AXSUSDT,2025-12-27,0.6631,0.5327,pump
okx,BABYUSDT,2025-10-31,0.5165,1.3591,pump
okx,BANANAUSDT,2025-11-21,0.5423,0.9831,pump
okx,BANDUSDT,2025-08-04,1.365,0.4563,pump
okx,BARDUSDT,2025-09-20,0.6513,1.3219,pump
okx,BASEDUSDT,2026-03-30,1.1794,1.3303,pump
okx,BATUSDT,2025-09-25,0.6599,0.463,pump
okx,BERAUSDT,2025-08-06,0.549,0.5605,pump
okx,BICOUSDT,2026-04-13,0.5893,0.6992,pump
okx,BIOUSDT,2025-07-20,0.5521,0.4427,pump
okx,BLURUSDT,2025-12-27,0.5529,0.6435,pump
okx,BNTUSDT,2026-04-01,0.5413,0.8739,pump
okx,BOMEUSDT,2025-12-18,0.5582,0.2419,volatile_control
okx,BONKUSDT,2025-12-17,0.5033,0.232,volatile_control
okx,BREVUSDT,2026-01-06,6.8653,0.7271,pump
okx,CATUSDT,2025-07-19,0.6702,1.035,pump
okx,CATIUSDT,2025-10-11,0.5899,1.0806,pump
okx,CELOUSDT,2025-09-18,0.576,0.6084,pump
okx,CETUSUSDT,2026-03-05,0.5024,0.3644,pump
okx,CFGUSDT,2025-07-26,0.509,0.4525,pump
okx,CFXUSDT,2025-07-19,1.6925,0.5243,pump
okx,CHZUSDT,2025-12-16,0.5254,0.183,volatile_control
okx,CITYUSDT,2025-07-24,0.5114,0.4974,pump
okx,COMPUSDT,2026-02-06,0.5085,0.9005,pump
okx,COREUSDT,2025-12-02,0.7743,0.7224,pump
okx,CROUSDT,2025-08-10,1.4695,0.4542,pump
okx,CSPRUSDT,2026-03-06,0.7009,0.703,pump
okx,CTCUSDT,2025-11-21,0.5263,1.0594,pump
okx,CVCUSDT,2025-10-31,0.5518,1.22,pump
okx,CVXUSDT,2025-12-16,0.5418,0.6337,pump
okx,DASHUSDT,2025-12-27,1.2618,0.1774,volatile_control
okx,DEGENUSDT,2025-11-23,0.5116,0.4336,pump
okx,DGBUSDT,2025-10-19,0.8425,0.4367,pump
okx,DOGSUSDT,2026-03-30,0.5281,0.5275,pump
okx,DOODUSDT,2025-10-22,0.6079,1.008,pump
okx,DORAUSDT,2025-08-09,0.9498,0.7133,pump
okx,DUCKUSDT,2025-08-31,1.7353,1.0568,pump
okx,DYDXUSDT,2026-04-01,0.5552,0.4155,pump
okx,EIGENUSDT,2025-08-02,0.5142,0.7344,pump
okx,ELFUSDT,2025-12-21,0.7383,0.7125,pump
okx,ENAUSDT,2026-03-30,0.5205,0.3569,pump
okx,ENJUSDT,2026-02-28,0.5799,0.5884,pump
okx,ETHFIUSDT,2025-08-28,0.5029,0.3113,pump
okx,ETHWUSDT,2026-03-30,0.9395,0.7883,pump
okx,FETUSDT,2025-10-20,0.5846,0.7022,pump
okx,FILUSDT,2025-10-20,1.579,0.4113,pump
okx,FLOKIUSDT,2025-12-19,0.6107,0.2919,volatile_control
okx,FLOWUSDT,2026-02-06,0.6028,1.3408,pump
okx,FLUIDUSDT,2025-07-31,0.5271,0.5754,pump
okx,FOGOUSDT,2026-01-20,0.5708,1.4387,pump
okx,GUSDT,2026-01-13,0.5123,1.3393,pump
okx,GLMUSDT,2025-10-26,0.5349,0.4838,pump
okx,GMTUSDT,2025-12-23,0.6697,0.4809,pump
okx,GMXUSDT,2025-07-22,1.0408,0.7175,pump
okx,GOATUSDT,2025-08-26,0.5243,0.4316,pump
okx,GODSUSDT,2025-07-19,0.7721,1.1166,pump
okx,HMSTRUSDT,2025-10-31,0.5861,1.4894,pump
okx,HUMAUSDT,2025-09-05,0.5098,0.367,pump
okx,HYPEUSDT,2026-01-16,0.5529,0.4168,pump
okx,ICPUSDT,2025-10-17,1.1108,0.4142,pump
okx,IDUSDT,2025-12-23,0.7877,0.65,pump
okx,ILVUSDT,2025-07-19,0.8613,0.4242,pump
okx,IMXUSDT,2025-09-01,0.911,0.3558,pump
okx,INJUSDT,2026-04-25,0.7805,0.3706,pump
okx,IOSTUSDT,2025-11-24,0.5018,0.9764,pump
okx,IOTAUSDT,2025-12-21,0.5061,0.6836,pump
okx,IPUSDT,2025-08-13,0.559,0.4669,pump
okx,JUSDT,2025-07-19,0.8504,1.033,pump
okx,JOEUSDT,2026-03-21,1.0074,0.7325,pump
okx,JTOUSDT,2025-12-19,0.6392,0.4647,pump
okx,JUPUSDT,2026-04-22,0.6044,0.2553,volatile_control
okx,KAIAUSDT,2026-01-11,0.5104,1.194,pump
okx,KAITOUSDT,2025-08-26,0.5496,0.685,pump
okx,KATUSDT,2026-03-19,0.6576,1.3725,pump
okx,KITEUSDT,2025-11-04,0.7102,1.1689,pump
okx,KMNOUSDT,2025-08-31,0.823,0.4268,pump
okx,KNCUSDT,2025-07-25,0.5061,1.0241,pump
okx,KSMUSDT,2025-10-21,0.513,0.7446,pump
okx,LATUSDT,2025-08-03,0.5268,0.9684,pump
okx,LAYERUSDT,2025-11-04,0.6791,0.8324,pump
okx,LDOUSDT,2025-07-25,0.5164,0.2269,volatile_control
okx,LINEAUSDT,2025-09-10,2.9643,0.7839,pump
okx,LINKUSDT,2025-07-31,0.5096,0.3509,pump
okx,LITUSDT,2026-03-31,0.525,0.8069,pump
okx,LPTUSDT,2025-08-19,0.5149,0.9145,pump
okx,LRCUSDT,2025-11-22,0.5832,0.8863,pump
okx,LSKUSDT,2025-10-24,1.1074,0.7474,pump
okx,LUNAUSDT,2025-11-18,1.14,0.7276,pump
okx,MAGICUSDT,2025-07-19,0.5691,0.7069,pump
okx,MAJORUSDT,2025-10-11,0.8456,0.7364,pump
okx,MASKUSDT,2026-04-08,0.6513,0.7306,pump
okx,MEUSDT,2025-10-11,0.5139,0.8736,pump
okx,MEMEUSDT,2025-08-02,0.6162,0.3938,pump
okx,MENGOUSDT,2025-07-28,0.8558,0.8107,pump
okx,MERLUSDT,2025-07-19,0.5241,1.2432,pump
okx,METUSDT,2025-10-23,1.5288,0.7318,pump
okx,METISUSDT,2025-11-05,0.5726,1.1652,pump
okx,MINAUSDT,2025-10-17,0.5374,0.9623,pump
okx,MMTUSDT,2025-11-04,15.86,0.9951,pump
okx,MONUSDT,2026-03-23,0.7586,0.1396,volatile_control
okx,MOODENGUSDT,2025-08-26,0.7223,0.2417,volatile_control
okx,MORPHOUSDT,2025-08-04,0.6463,0.1661,volatile_control
okx,MOVEUSDT,2025-12-13,0.524,1.305,pump
okx,NAVXUSDT,2025-07-24,0.5249,0.5307,pump
okx,NEARUSDT,2025-10-31,0.5212,0.8408,pump
okx,NEIROUSDT,2025-12-19,0.51,0.3596,pump
okx,NIGHTUSDT,2025-12-09,11.0,0.3923,pump
